circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,ADITYA NAGAR,DOMESTIC,1,849,823.0,162036.0,2324.64
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,AKBARBAGH,DOMESTIC,1,1283,1258.0,213979.0,2043.74
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,ARAVIND NAGAR COLONEY,DOMESTIC,1,2102,2058.0,372776.0,4699.44
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,OLD PATEL NAGAR,DOMESTIC,1,1825,1776.0,188147.0,2409.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,OWAISI NAGAR,DOMESTIC,1,549,547.0,77687.0,811.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,PATELNAGAR (X-ROAD),DOMESTIC,1,621,607.0,74590.0,877.2
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,PATELNAGAR HANUMAN TEMPLE,DOMESTIC,1,1326,1297.0,141657.0,1869.4
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,PATELNAGAR POCHAMMA TEMPLE,DOMESTIC,1,462,449.0,46645.0,739.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,PATELWADA,DOMESTIC,1,1023,1019.0,116225.0,1391.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,POLICE QUARTERS  CPL,DOMESTIC,1,135,13.0,2174.0,139.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,PREM NAGAR,DOMESTIC,1,1529,1509.0,165527.0,2243.5
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,PREM NAGAR 1,DOMESTIC,1,1019,991.0,108130.0,1390.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,PREM NAGAR 2,DOMESTIC,1,1946,1938.0,210519.0,2694.7
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,PREM NAGAR 3,DOMESTIC,1,1433,1419.0,139163.0,1909.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,PURNODAYA COLONY,DOMESTIC,1,339,337.0,49642.0,700.0
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,L.NARAYANA NAGAR,DOMESTIC,1,904,898.0,118374.0,1227.57
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,L.NARAYANA NAGAR WEST,DOMESTIC,1,957,943.0,109651.0,1235.26
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,LALITHA NAGAR,DOMESTIC,1,669,651.0,95937.0,1313.1
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,"MAZID ROAD, WARASIGUDA",DOMESTIC,1,627,623.0,82477.0,940.07
